Prompt,Response
"A weird way to dry your hair"",","I use a leaf blower; it's surprisingly effective, though I did accidentally give myself a mohawk once."
"A new name for the U.S. Congress "",",The Clueless Caucus.
"What Adam thought when he first met Eve"",","""Whoa, free buffet!"""
"What do ceramic garden gnomes do at night?"",","They throw gnome-sized rave parties, obviously."
"The real secret to a happy marriage is..."",","The real secret to a happy marriage is...  a really, really good therapist."
"A rejected name for the game Yahtzee"",","""Farkle's less successful, slightly less fun, cousin."""
"The best thing to blurt out in order to ruin a beautiful sunset"",","""Look, a giant, hairy marshmallow!"""
"A mobster's pet peeve"",",My pet peeve?  When the cannoli's *not* filled with enough ricotta.
"You know you're comfortable in a relationship when you ask your significant other to _________"",","You know you're comfortable in a relationship when you ask your significant other to ""...grab the hemorrhoid cream from the bathroom, honey, the spicy tuna really did a number on me."""
"The best line to say when you come out of a 10-year coma "",","""Did I miss much... besides, like, *everything*?"""
"The real reason Mr. Clean is grinning"",","He finally found a stain he couldn't get out, and it's on his own sparkling white shoes."
"The best name to give an ugly baby"",",Kevin.  It's so normal it's almost offensive.
"The first thing Abraham Lincoln would do if he came back from the dead"",","Demand a really, really good lawyer to sort out his tax returns."
"Come up with a <i>TMZ</i> celebrity headline from five years in the future"",","""Elon Musk's Mars Colony Runs Out of Wi-Fi:  'It's a Total Disaster!' Says Grimes."""
"What the roller coaster attendant is actually saying during his mumbled preamble before the ride"",","""Please keep your arms and legs inside the death trap at all times, and try not to scream too loud, we've got a fragile ecosystem of squirrels living in the support beams."""
"An ad slogan for cardboard: \u201cNow with more _________\u201d "",",Now with more *existential dread*! (It's surprisingly sturdy.)
"The most annoying person in a movie theater would _________"",","The most annoying person in a movie theater would be the guy who loudly critiques every single acting choice,  whispering things like, ""Oh, honey, that wasn't *nearly* believable... you call *that* crying?"""
"A rejected Monopoly game piece "",","...is now a lonely, little thimble, searching for a board to call home and maybe a slightly less judgmental family."
"A terrible sign-off line for a newscaster"",","""And that's the news, folks... unless something way more interesting happens, in which case, forget everything I just said!"""
"A good sign that you may be a ghost"",","A good sign that you may be a ghost is if you're constantly complaining about the draft, even when the windows are sealed shut and everyone else is perfectly comfortable."
"The creepiest thing to whisper in somebody's ear as you're hugging them"",","""I know what you did last summer...and the summer before that...and the summer before THAT..."""
"A better name for the ukulele"",","Ukulele-lele, because it's twice the fun!"
"What the Queen's Guard is secretly thinking as they just stand there"",","""Is this shift over yet?  My corgis need walking."""
"The worst part about having a mustache"",",The worst part about having a mustache is explaining to the TSA why you have a suspicious amount of peanut butter clinging to it.
"An awkward thing to hear from the person pooping in the bathroom stall next to you"",","""My therapist told me to embrace my inner child... so I'm building a Lego castle."""
"A quick way to save money on grocery bills"",","Shoplift... just kidding, officer!  I'd never! (Mostly.)"
"A good sign you're never going to be a professional football player"",",A good sign you're never going to be a professional football player is if you're still using training wheels on your tricycle.
"How they really select the next Pope"",","They hold a massive, highly competitive game of papal-toss; whoever gets the closest to the Vatican wins."
"The name of a new cologne inspired by celebrity chef Guy Fieri"",","""Flavortown, population: you, smelling ridiculously delicious."""
"A great way to quickly get out of credit card debt"",",Sell one of your kidneys; you won't need them both to enjoy your newfound debt-free lifestyle!
"The worst upstairs neighbors would be people that _________"",",The worst upstairs neighbors would be people that hold synchronized interpretive dance classes at 3 AM.
"The weirdest message your cat could write out to you in its litter box"",","""Humans, I've upgraded to tuna-flavored litter; please adjust your expectations accordingly.  Also, the red dot is a LIE."""
"A horrible pick-up line"",",Is your name Google? Because you've got everything I've been searching for.
"The best way to keep a co-worker from stealing your lunch"",","Label your lunch container ""Do Not Eat: I've already added a special ingredient""."
"The least scary horror movie: <i>Night of the _________</i>"",","The least scary horror movie:  ""Night of the Living Accountants."""
"The worst thing to find when you move into a new house"",","A family of squirrels who've clearly established a thriving Etsy business selling tiny, hand-knitted sweaters."
"The worst carnival prize you could win"",",A lifetime supply of lukewarm beer.
"The most unusual environmental cause is \u201c_________ the Whales\u201d"",","The most unusual environmental cause is ""saving the whales from existential dread by throwing them really elaborate, ocean-themed birthday parties""."
"The only thing worse than standing in a really long line is standing in a really long line for _________"",",The only thing worse than standing in a really long line is standing in a really long line for a slightly less mediocre pretzel.
"You wake up 100 years in the future and are shocked to find _________"",","You wake up 100 years in the future and are shocked to find out that pigeons are now the dominant species and they've instituted a strict ""no breadcrumb"" policy."
"A weird thing for a preacher to say to end every sermon"",","""And remember, my children,  don't forget to floss... your sins!"""
"A rejected tourism slogan for Des Moines, Iowa: \u201cHome of the _________\u201d"",",Home of the slightly less disappointing corn mazes.
"A forgotten book in the classic Harry Potter series: <i>Harry Potter and the _________</i>"",",Harry Potter and the Extremely Annoying House Elf Who Wouldn't Stop Complaining About His Sock Drawer.
"The weirdest thing a restroom attendant could offer you"",",A complimentary nose hair trimmer and a strongly worded pamphlet on proper toilet etiquette.
"The worst Thanksgiving Day balloon would be a giant, inflatable _________"",","The worst Thanksgiving Day balloon would be a giant, inflatable prune."
"The big, crazy twist at the end of the next M. Night Shamalayan movie: He was _________ the whole time!"",",He was a sleepwalking mime the whole time!
"Most people know it as The Big Apple, but a lesser-known nickname for New York is The Big _________"",",The Big Pretzel—because it's constantly twisted and knotted with traffic.
"The next best thing to chew when you're out of gum"",",Your own fingernails... but only if you haven't already used them to pick at a particularly stubborn price tag.
"You know you're in a very weird fast food restaurant when the cashier asks, \u201cDo you want _________ with that?\u201d"",",Do you want a complimentary existential crisis with that?
"It's incredibly rude to _________ with your mouth open"",",It's incredibly rude to **chew Brussels sprouts with your mouth open**.
"You never have a _________ when you need one"",",You never have a **working pen** when you need one.
"In the next big sports scandal, we'll find out that _________"",","In the next big sports scandal, we'll find out that the referees were actually a highly synchronized underwater synchronized swimming team, and their calls were based on elaborate interpretive dance routines."
"Worse than global warming, the real threat to humanity is global _________"",","Worse than global warming, the real threat to humanity is global **unintelligible autocorrect suggestions**."
"Forget dogs. What is really man's best friend?"",","A really, really good pizza."
"How you can tell it's a doctor's first day on the job"",",He's still trying to figure out how to operate the coffee machine without setting off the fire alarm.
"The worst name for an all-girl band"",","""The Menopausal Maestros."""
"A bad thing to say to your date's parents"",","""So, I hear your basement is unfinished... perfect for my escape plan!"""
"The worst song to do pairs figure skating to"",","""Baby Shark"" –  guaranteed to make even the most graceful skaters look like they're battling a kraken made of toddlers."
"What landed you in the emergency room this time?"",",A rogue frisbee and a surprisingly aggressive squirrel – long story.
"The worst thing to say during a job interview"",","""My last boss was a real piece of work...literally, I think he's still drying out in the breakroom."""
"A magazine category that hasn't been invented yet"",","""Amateur Taxidermy Gone Wrong."""
"The top 3 ingredients in garbage truck juice"",","Regret, disappointment, and the faint aroma of forgotten gym socks."
"A really bad superhero power"",",The ability to only attract socks that are *definitely* not a pair.
"The worst thing to put on a pizza"",","Pineapple.  Seriously, who hurt you?"
"If evolution is true, then why hasn't _________ evolved into _________?"",","If evolution is true, then why hasn't my alarm clock evolved into a fluffy kitten that gently licks my face awake?"
"R2D2's biggest complaint"",",That blasted protocol droid keeps stealing his oil slicks.
"Come up with a bad tourism slogan for the Old Faithful geyser"",","Old Faithful:  It's not *that* faithful, but hey, at least it's occasionally on time!"
"The worst possible choice for the person on the new $20 bill"",","My grandma, because she'd insist on using a coupon for the vending machine."
"A little-known lyric in the original draft of the \u201cStar-Spangled Banner\u201d"",","""And the rockets' red glare, proved mostly just a really bad fireworks display by some guy named Barry."""
"The best thing to shoot out of a cannon"",","A really, really fluffy cat.  (Preferably one that's already wearing a tiny parachute.)"
"The winners on <i>The Bachelor</i> get a rose. The losers should get _________"",",A lifetime supply of increasingly desperate dating app profiles.
"From the creators of \u201cWhack-a-Mole\u201d comes the new game \u201c_________-a-_________\u201d"",",From the creators of “Whack-a-Mole” comes the new game “Hug-a-Cactus”.
"The title of a never-released Jimmy Buffett song"",","""Cheeseburger in Paradise Lost: A Margaritaville Tragedy."""
"The worst thing to hear from your GPS: \u201cIn two miles, _________\u201d"",","In two miles, prepare for spontaneous combustion."
"The weirdest sentence a judge could impose"",","""I sentence you to one year of interpretive dance lessons, followed by a mandatory viewing of all the *Sharknado* movies."""
"A good use for toenail clippings"",","Fertilizing my prize-winning petunias, of course – they're already quite *rooted* in their pots."
"A fitting punishment for people who double-dip their chips"",",Forced to only eat chips that have been pre-chewed by a llama.
"America's energy crisis would be over if we made cars that ran on _________"",","America's energy crisis would be over if we made cars that ran on  pure, unadulterated willpower... and maybe a little hamster wheel."
"Something it'd be fun to watch ride an escalator "",",A greased pig wearing a tiny tuxedo.
"A high school superlative you don't want to win: Most Likely To _________"",",Most Likely To Accidentally Set the Cafeteria on Fire.
"A rejected title for <i>Moby Dick</i>"",","""Moby's Whale of a Time: A Fishy Tale."""
"Something you do not want to find under your hotel bed"",",A sentient dust bunny judging my life choices.
"You know your doctor has gone insane when he tells you to make sure you _________ at least once a day"",",You know your doctor has gone insane when he tells you to make sure you  **sacrifice a small goat to the ancient gods of digestion** at least once a day.
"A sign that your kid isn't good at sports"",",Their coach keeps asking if they're *actually* trying.
"The first sign that you're no longer cool"",","The first sign you're no longer cool is when your ringtone is still ""Crazy Frog."""
"A surprising thing to find stuck to the bottom of your shoe"",","A perfectly preserved, miniature, and surprisingly well-fed unicorn."
"The worst thing that could follow \u201cHoney-Roasted\u201d"",",Honey-Roasted... disappointment.
"Why are geese such jerks?"",",Because they're fowl-mouthed and have a honking attitude problem.
"A sign that you're a bad teacher"",",My students are better at explaining the material than I am.
"What bears dream about all winter"",","Miniature golf courses, obviously."
"A good sign that you've drunk too much Mt. Dew"",",Your teeth start glowing in the dark like a radioactive squirrel.
"The manliest way to start a conversation"",","""Hey, wanna arm wrestle for the last donut?"""
"What the abominable snowman does when he's bored"",","He tries to build a really, really big snow-cone, but he always melts before he's finished."
"A good alternative for ping-pong paddles"",",Used pizza boxes; the sauce adds a nice spin.
"You know you're a chocoholic when..."",",You know you're a chocoholic when you start questioning your life choices...  but only after you've finished the entire chocolate cake.
"The worst reason to use a time machine"",",To go back and correct my grammar on that really embarrassing Facebook post from 2012.
"Something you should not do while crowdsurfing"",",Attempting to iron your shirt.
"What those bolts in Frankenstein's neck are for"",","Holding his head on, obviously.  They're not exactly *decorative*."
"What Waldo from \u201cWhere's Waldo?\u201d says to himself in the mirror"",","""Is this thing on?  Because I'm *really* good at hide-and-seek."""
"The worst road trip would start with someone _________"",","The worst road trip would start with someone forgetting to pack the snacks, *and* their sense of direction."
"A creepy thing to write in your email signature line"",","""I'm watching you."""
"The only five words in your obituary in the newspaper"",","""He finally learned to parallel park."""
"What's the U.S. government really hiding in Area 51?"",",Tax returns from 1998 – they’re still trying to figure out the deductions.
"The worst advice an IT guy could give"",","""Just hit it really hard; it'll probably work."""
"A really bad name for an apartment complex: \u201c_________ Place\u201d"",","""Meth Head Manor Place"""
"What should we do with all of that plastic that won't disintegrate?"",","Build a giant, indestructible, slightly terrifying statue of myself out of it, of course."
"One thing that the rich truly enjoy is diamond-encrusted _________"",",One thing that the rich truly enjoy is diamond-encrusted toilet plungers.
"The best part of turning 100 years old"",",The best part of turning 100 years old is finally being old enough to tell people to get off my lawn... legally.
"The lesser-known other way to find the Wizard of Oz: Follow the _________ Road"",","The lesser-known other way to find the Wizard of Oz: Follow the **really, really, ridiculously long, slightly smelly, and occasionally haunted yellow brick Road**."
"Forget coffee. Don't talk to me until I've had my _________"",",Forget coffee. Don't talk to me until I've had my existential crisis and a really big slice of cake.
"Odd new shampoo instructions: \u201cLather, Rinse, _________, Repeat.\u201d"",","Lather, Rinse, summon ancient Cthulhu, Repeat."
"The worst magic trick"",","My attempt at pulling a rabbit out of a hat only resulted in a very confused squirrel and a small, yet oddly aggressive, ferret."
"The lost Hemingway book: <i>The Old Man and the _________</i>"",","The Old Man and the *really, really, ridiculously oversized inflatable flamingo*."
"The title of a podcast you would never ever listen to"",","""My Therapist Told Me to Stop Talking About My Feelings."""
"The name of a new, terrifying species of spider"",","""Professor P. Sherman's Nightmare-inducing, Pant-Soiling, Eight-Legged Terror of the Amazon."""
"The most annoying co-worker would constantly _________"",","The most annoying co-worker would constantly hum ""Baby Shark"" off-key, while simultaneously juggling rubber chickens."
"A surefire way to ruin Christmas"",","My uncle's annual attempt at a ""surprise"" fruitcake."
"The name of the worst baby doll"",",Crybaby McScreamyface.
"\u201cDon't blame me, I voted for _________.\u201d"",","Don't blame me, I voted for ""Pizza Rolls to be the official food of the nation""."
"The name of a fast food restaurant in the Stone Age"",","""Mammoth Munchies:  Where the grub's always prehistoric!"""
"Dodgeball would be an even better sport if _________ were allowed"",",Dodgeball would be an even better sport if  attack squirrels wielding tiny catapults were allowed.
"A _________ a day keeps the doctor away"",",A really good lawyer a day keeps the doctor away.
"Instead of \u201cCheese!\u201d the worst family photographer would tell you to say, \u201c_________!\u201d"",","""Constipation!"""
"The title of a college admission essay that would definitely get rejected"",","""Why I Believe My Pet Hamster Should Be My Co-Signer."""
"Something Big Bird will confess on his deathbed"",","""Oh, those weren't *really* feathers... they're just really advanced toupee technology."""
"The last thing you'd want to find in your air ducts"",",My ex-boyfriend's collection of porcelain dolls.
"A terrible name for a dragon"",",Kevin.
"The worst way to unclog a toilet"",","With a tiny, terrified chihuahua."
"Something that's been hiding in the background in every episode of <i>Friends</i>"",",Joey's crippling fear of commitment... to a decent haircut.
"We should combine Minnesota and Wisconsin and call them _________"",","We should combine Minnesota and Wisconsin and call them ""Minnconsin: Where the cheese curds are always curdling."""
"The name of a cable network that no one watches"",","""The Weather Channel's new spin-off:  'Slightly Cloudy with a Chance of Mild Disappointment'."""
"If the groundhog \u201ckind of\u201d sees his shadow, it's six weeks of _________"",","If the groundhog ""kind of"" sees his shadow, it's six weeks of aggressively mediocre spring weather."
"What's really destroying the ozone layer?"",","My cat's incessant farts.  They're a real hole in the atmosphere, I tell ya."
"You know you're famous when..."",",You know you're famous when you get recognized by a squirrel wearing a tiny fez.
"The absolute worst moment for a bird to poop on you"",","The absolute worst moment for a bird to poop on you is when you're giving a very important speech accepting an award for ""Best Dressed."""
"A weird thing for someone to frame and hang on the wall"",","A slightly moldy cheese puff, carefully preserved in a lucite box."
"The best thing to yell while going over Niagara Falls in a barrel "",","""I've got a really bad feeling about this!"""
"What you don't want to hear from the passenger next to you at the start of a 20-hour flight"",","""Oh, I brought my emotional support llama, Kevin. He gets a little...airborne."""
"Why ducks really fly south in the winter"",",To avoid getting frostbite on their little duck butts.
"Where Charlie Brown winds up at age 45"",","Still kicking that football, but now with a really bad back."
"What a frog would say to his psychiatrist"",","""It's not easy being green, Doc, especially when you're constantly being asked to kiss princesses...and they *never* tip."""
"The worst theme for your kid's first dance recital"",","""Underwater basket weaving."""
"The worst combination of two actors that could possibly star in the next season of <i>True Detective</i> together"",",Nicolas Cage and that guy who played Jar Jar Binks; I'd need a whole bottle of whiskey just to get through the first episode.
"It's disappointing to put together a 1,000 piece puzzle and realize it's just a picture of _________"",","It's disappointing to put together a 1,000 piece puzzle and realize it's just a picture of  ""my ex's meticulously organized spice rack."""
"The name of a law firm you shouldn't hire"",","""Sue Happy & Associates: We'll sue your grandma for staring at us funny."""
"The worst thing to find frozen in an ice cube"",",My ex's engagement ring.
"Something you don't expect to see when you spy on your neighbors"",",A synchronized swimming team of trained ferrets.
"An experiment mice actually like having performed on them"",","Turns out, the ""experiment"" was just unlimited cheese and tiny treadmills with built-in massage functions."
"A double rainbow doesn't have gold at the end of it. Instead, it has _________"",","A double rainbow doesn't have gold at the end of it. Instead, it has a slightly bewildered leprechaun frantically searching for his misplaced pot of Lucky Charms."
"The best shirt to wear next to somebody who's wearing an \u201cI'm with stupid\u201d T-shirt"",","A shirt that says, ""And I'm clearly not with *them*."""
"The worst thing a plastic surgeon could say after he botched your surgery: \u201cI'm sorry, I accidentally _________\u201d"",","""I'm sorry, I accidentally gave you the face of a startled garden gnome."""
"The worst advice your boxing coach could give you"",","""Don't worry about dodging punches, just try to hug your opponent until he gets bored and goes home."""
"What an alarm clock could say that would wake you right up"",","""Honey, the apocalypse is *totally* sold out, so you've gotta get up now before the last unicorn gets all the good loot!"""
"A weird thing to hear from your doctor: \u201cI'm afraid you have _________\u201d"",","""I'm afraid you have a severe case of spontaneous glitter-pooping."""
"In a shocking poll, it was discovered that three out of four Americans _________"",","In a shocking poll, it was discovered that three out of four Americans believe their cat is secretly plotting world domination."
"The most common thing you'd hear if you could read people's thoughts"",","""My feet are killing me."""
"The name of a hairstyle that will never catch on"",","""The 'Gravity-Defying Squirrel Nest'."""
"A bad name for an Italian restaurant"",","""Tony's Pasta-tively Terrible Trattoria."""
"A realistic, honest fast-food slogan"",","""Our food is so cheap, we practically pay *you* to eat it."""
"A good sign that you've drunk too much Mt. Dew"",",Your teeth start glowing in the dark.
"What bears dream about all winter"",","Probably hibernation-themed nightmares about tiny, angry squirrels stealing their honey."
"The worst breakfast: pancakes shaped like _________"",",The worst breakfast: pancakes shaped like my ex's face.
"A sign that you're a bad teacher"",","My students think ""participation trophy"" is a type of award-winning casserole."
"If a genie gives you three wishes, the best things to wish for are: 1) a billion dollars, 2) eternal life, and 3) _________"",",...the ability to understand what women are *actually* thinking.  Because then I could use the billion dollars and eternal life effectively.
"The worst charity: Save the _________"",",Save the slightly-used socks.
"Little-known fact: An unaired episode of <i>The Brady Bunch</i> had the family dealing with _________"",",Little-known fact: An unaired episode of *The Brady Bunch* had the family dealing with a rogue badger infestation that Mike solved using only a tuba and a surprisingly effective batch of homemade badger repellent made from Greg's science fair project.
"The futuristic invention you can't wait to see exist"",","Self-folding laundry, because wrestling with a fitted sheet is my Everest, and I'm tired of losing."
"What's really at the center of the Earth?"",","My cat, obviously.  He keeps disappearing for hours at a time."
"Invent a new word for the toilet that sounds like it's from Shakespeare"",","The porcelain throne, of course!"
"Safety tip! Don't eat a half hour before you _________"",",Safety tip! Don't eat a half hour before you wrestle a greased pig.
"The real way you can tell an alligator from a crocodile"",","One has a smile you'd actually want to see in a selfie, the other looks like it's plotting world domination."
"A very unnecessary surgery"",","Removing my neighbor's perfectly good doorbell, because I didn't like its ringtone."
"Survival tip! Start a fire by rubbing _________"",",Survival tip! Start a fire by rubbing two sticks together... until you realize you're just making kindling for your rapidly dwindling self-esteem.
"Helpful advice you would give to Super Mario"",","Lay off the mushrooms, dude, you're starting to look like a giant, bouncing, hallucinating plumber."
"In the future, scientists discover that the secret to eternal youth is _________"",","In the future, scientists discover that the secret to eternal youth is  eating only artisanal, gluten-free, ethically-sourced unicorn tears."
"Something you shouldn't use a chainsaw for"",",Removing a stubborn toenail.
"A surprising purchase on Willy Wonka's credit card statement"",","Five thousand pounds of pure, unadulterated, edible glitter."
"The worst album: \u201c_________ Sings the Blues\u201d"",","""My Uncle Barry Sings the Blues"""
"A really stupid idea for a phone app (that would still make you millions of dollars)"",","An app that only plays the sound of dial-up internet connecting, but for $9.99 a month."
"The name of a new game show that sounds terrible"",","""Honey, I Shrunk the Contestants' Brains."""
"The one thing you wish a politician would just say already"",","""The truth, the whole truth, and nothing but the truth...so help me, my dog ate my homework."""
"A secret way to get stubborn ketchup out of the bottle"",",Microwave it for 10 seconds; it'll come out so fast you'll need a catcher's mitt.
"The most surprising person to admit to being the Zodiac Killer"",","My grandma. Turns out all those ""special"" apple pies were a cover-up."
"A lesson that probably wouldn't be taught on <i>Sesame Street</i>"",",How to successfully smuggle cookies into a puppet show.
"Something you promise to yell if you win this game"",","""I promise to yell, 'I'M NOT REALLY AS SMART AS I LOOK!'"""
"A creepy thing to find scribbled onto a dollar bill"",","""I'm accepting applications for my soul; please submit resume and three references."""
"If you don't have extra money, an odd thing to use as a tip for your waiter"",",My tears of joy after they brought me another plate of nachos.
"The name of the next hot boy band"",","""The Broccoli Boyz – because we're all about that green."""
"A terrible name for a king"",",King Melvin the Mildly Incompetent.
"A sure sign that a drifter has been secretly living in your house"",","A sure sign that a drifter has been secretly living in your house is finding a half-eaten can of beans nestled amongst your tax returns and a note that simply says, ""Thanks for the squat, dude.  Karma's a beach."""
"The name of a new U.S. state you would never visit"",",Florida Man's Retirement Home.
"The one thing that isn't better dipped in chocolate"",",My tax return.
"Like \u201cdinger,\u201d \u201cgrand salami,\u201d and \u201cjack,\u201d come up with a new slang term for a home run in baseball"",","A ""grand salami-dinger"" – because it's a big, meaty hit!"
"A terrible vacation idea: going to visit The Museum of _________"",",A terrible vacation idea: going to visit The Museum of Literally Just One Slightly Dull Rock.
"A great gag gift would be an exploding _________"",",A great gag gift would be an exploding toilet plunger.
"The official medical term for belly button lint (probably)"",","""Umbilical fluffernutter."""
"A surprising thing to hear in a nature documentary"",","""And then, the squirrel spontaneously combusted... for tax reasons."""
"The years 2011 to 2020 will be remembered as \u201cThe _________ Age\u201d"",","The years 2011 to 2020 will be remembered as ""The  Autocorrect-Induced-Public-Humiliation Age""."
"An inventive way to get rid of head lice"",",Shave it all off and blame it on a particularly enthusiastic encounter with a lawnmower.
"Little-known fact: the scariest animal in the world is the _________ cobra"",","Little-known fact: the scariest animal in the world is the ""accountant cobra""."
"A bad name for a brand of hot sauce"",","""Mild Inferno: Because disappointment burns, too."""
"An excuse to avoid riding the mechanical bull"",","My therapist strongly recommended against activities that might result in spontaneous, and possibly public, rodeo-style dismounts."
"What Big Foot complains about to his therapist the most"",",The size of his darn socks; finding ones that fit is a monster of a problem.
"The worst warning to read on some medicine you just swallowed"",","""May cause spontaneous interpretive dance."""
"A strange poster to hang in a college dorm room"",","A motivational poster that says, ""You're not failing, you're just succeeding at failing spectacularly!"""
"Never pay more than $3 for _________"",",Never pay more than $3 for a self-help book that promises to teach you how to make millions selling self-help books.
"The name of a really bizarre diet that just never caught on"",","The ""Mostly-Marshmallows-and-Regret"" diet."
"The most popular T-shirt slogan in Mississippi, probably"",","""I've got 99 problems, but a gator ain't one."""
"The hit song from the Broadway show <i>Fart: The Musical</i>"",","""It's gotta be ""Toot Sweet!"", obviously.  Who wouldn't want a song *that* catchy stuck in their head?"""
"A ridiculous government agency that no one knows about: The Department of _________"",",The Department of  Making Sure Left Socks Don't Exist Anymore.
"The best thing about being thrown into a volcano"",",The best thing about being thrown into a volcano is that you'll finally have a *really* good excuse for missing Aunt Mildred's casserole night.
"The world's most boring video game"",",A screensaver that changes colors every 17 minutes.
"'New requirement at amusement parks: \u201cYou must be this _________ to ride""',","New requirement at amusement parks: “You must be this **tall, and also emotionally stable after waiting in line for three hours** to ride”."
"You probably shouldn't hire a moving company called _________"",","You probably shouldn't hire a moving company called ""Slightly Used Boxes and Questionable Ropes."""
"The weirdest combination of three items that you could buy at the store"",","A bag of frozen peas, a rubber chicken, and a self-help book titled ""Conquering Your Fear of Mime."""
"The worst halftime show: The _________ Dancers"",","The worst halftime show: The ""Existentially Dreadful Mime Dancers""."
"What's really in a camel's hump?"",","Mostly disappointment, a little bit of sand, and probably a forgotten lunch."
"The most obnoxious name someone could give their kid"",",Definitely Chad Thundercock Jr.
"Something that is probably on Nicolas Cage's \u201cTo Do\u201d list"",",Negotiate the purchase of a small island nation solely for the purpose of housing his bee collection.
"The newest health food: _________ juice"",","The newest health food: ""Unicorn tears juice""."
"HR would probably get the most complaints on \u201cBring your _________ to work\u201d day"",",HR would probably get the most complaints on “Bring your toddler to work” day.
"A lesser-known Knight of the Round Table: Sir _________"",","Sir Reginald ""The Slightly-Off"" McFee, whose quest was to find the perfect shade of beige for his armor."
"A Socrates quote that nobody bothered to write down"",","""I think, therefore, I'm probably hungry—someone get me a gyro."""
"Why is the sky blue?"",",Because it got tired of being beige.
"The best way to catch a leprechaun"",","A really, really, REALLY small net."
"The worst things to juggle"",","Chainsaws, live kittens, and the emotional baggage of three ex-wives."
"Turns out, the meaning of life is _________"",","Turns out, the meaning of life is  a really, really long nap...preferably with a cheese platter nearby."
